TimeStamp,Active Power (kW),POA (W/m2),GHI (W/m2),Wind Speed (m/s),Wind Direction (DEG.),AMB TEMP,MOD TEMP,Humidity,Active Power (MW)
2026-07-11 00:00:00,0.0,0.0,-0.3153133333333333,0.8832199999999999,214.13858,26.67333333333333,24.253333333333337,83.69333333333334,0.0
2026-07-11 00:15:00,0.0,0.0,-0.0508533333333333,0.9868733333333336,226.62117333333333,26.573333333333338,24.31333333333333,85.47333333333334,0.0
2026-07-11 00:30:00,0.0,0.0,-0.2702933333333333,1.3652266666666668,230.0203666666667,26.65333333333333,24.57333333333333,86.62666666666665,0.0
2026-07-11 00:45:00,0.0,0.0,-0.2668799999999999,1.0106066666666669,228.4120266666667,26.520000000000003,24.506666666666668,87.42666666666669,0.0
2026-07-11 01:00:00,0.0,0.0,-0.23822,1.4127466666666668,222.39402000000007,26.506666666666668,24.540000000000003,87.66666666666669,0.0
2026-07-11 01:15:00,0.0,0.0,-0.2327066666666666,2.2047733333333333,217.99255333333332,26.486666666666665,24.600000000000005,87.95333333333332,0.0
2026-07-11 01:30:00,0.0,0.0,-0.3806799999999999,1.2254866666666666,220.68404,26.35333333333334,24.526666666666664,88.25999999999999,0.0
2026-07-11 01:45:00,0.0,0.0,-0.0168533333333333,2.2793933333333336,220.94888000000003,26.35333333333333,24.59333333333334,88.20666666666666,0.0
2026-07-11 02:00:00,0.0,0.0,-0.2370066666666667,1.8426866666666668,228.93206,26.226666666666663,24.726666666666667,88.44666666666666,0.0
2026-07-11 02:15:00,0.0,0.0,-0.23224,2.04078,229.01143333333337,26.11333333333334,24.633333333333333,88.65333333333334,0.0
2026-07-11 02:30:00,0.0,0.0,-0.3333466666666666,2.1262866666666667,231.28894,26.10000000000001,24.733333333333327,88.50666666666665,0.0
2026-07-11 02:45:00,0.0,0.0,-0.4237200000000001,1.7769,229.9498933333333,26.159999999999997,25.24666666666667,88.20666666666666,0.0
2026-07-11 03:00:00,0.0,0.0,-0.0283933333333333,2.273886666666667,235.12291333333332,26.15333333333333,25.219999999999995,87.57333333333332,0.0
2026-07-11 03:15:00,0.0,0.0,-0.1384333333333333,2.221433333333333,231.17472,26.120000000000005,24.84,86.55999999999997,0.0
2026-07-11 03:30:00,0.0,0.0,-0.3337666666666667,2.3203400000000003,230.8653733333333,26.11333333333334,24.75333333333333,85.93333333333334,0.0
2026-07-11 03:45:00,0.0,0.0,-0.20186,2.716693333333333,226.66343999999995,26.106666666666676,25.079999999999995,85.29333333333334,0.0
2026-07-11 04:00:00,0.0,0.0,-0.0404533333333333,2.6239133333333338,231.81418666666667,26.06,24.946666666666665,84.42666666666668,0.0
2026-07-11 04:15:00,0.0,0.0,-0.29512,3.044626666666667,235.80097333333336,25.973333333333333,24.719999999999995,83.77333333333334,0.0
2026-07-11 04:30:00,0.0,0.0,-0.1425933333333333,2.369813333333333,225.80806666666663,25.83333333333334,24.540000000000003,83.41333333333334,0.0
2026-07-11 04:45:00,0.0,0.0,-0.0652066666666666,2.389066666666667,233.25860000000003,25.686666666666667,24.16,83.27333333333334,0.0
2026-07-11 05:00:00,0.0,0.0,-0.35792,1.7615866666666666,231.96701999999996,25.613333333333337,24.113333333333333,82.93333333333334,0.0
2026-07-11 05:15:00,0.0,0.0,-0.3753466666666666,2.8183133333333337,233.98044666666672,25.659999999999997,24.64,82.62666666666665,0.0
2026-07-11 05:30:00,0.0,0.0,-0.0973466666666666,2.426693333333333,234.3261133333334,25.67333333333333,25.046666666666678,82.63333333333331,0.0
2026-07-11 05:45:00,1.3613333333333335,3.9216466666666663,4.326173333333333,2.69134,245.72264,25.646666666666665,25.06666666666667,82.95333333333333,0.0013613333333333335
